nconst	primaryName	knownForTitles
nm0001351	George Roy Hill	['tt0070735', 'tt0064115', 'tt0076723', 'tt0069280']
nm0000934	Bernardo Bertolucci	['tt0065571', 'tt0093389', 'tt0070849', 'tt0117737']
nm0000341	Michael Crichton	['tt0107290', 'tt0070909', 'tt0117998', 'tt0108757']
nm0362736	Robin Hardy	['tt0070917', 'tt0097375', 'tt0091032', 'tt0323808']
nm0000316	Mel Brooks	['tt0094012', 'tt0395251', 'tt0082517', 'tt0071230']
nm0000591	Roman Polanski	['tt0071315', 'tt0074811', 'tt1139328', 'tt0063522']
nm0000338	Francis Ford Coppola	['tt0078788', 'tt0071360', 'tt0071562', 'tt0068646']
nm0000338	Francis Ford Coppola	['tt0078788', 'tt0071360', 'tt0071562', 'tt0068646']
nm0357891	Guy Hamilton	['tt0070328', 'tt0058150', 'tt0066995', 'tt0071807']
nm0000416	Terry Gilliam	['tt0088846', 'tt0071853', 'tt1054606', 'tt0081633']
nm0001402	Terry Jones	['tt0085959', 'tt0071853', 'tt0079470', 'tt0118172']
nm0001486	Sidney Lumet	['tt0050083', 'tt0292963', 'tt0071877', 'tt0072890']
nm0001361	Tobe Hooper	['tt0072271', 'tt0092076', 'tt0084516', 'tt0089489']
nm0000316	Mel Brooks	['tt0094012', 'tt0395251', 'tt0082517', 'tt0071230']
nm0001789	Andrei Tarkovsky	['tt0091670', 'tt0069293', 'tt0086022', 'tt0079944']
nm0000040	Stanley Kubrick	['tt0062622', 'tt0066921', 'tt0072684', 'tt0093058']
nm0001486	Sidney Lumet	['tt0050083', 'tt0292963', 'tt0071877', 'tt0072890']
nm0000229	Steven Spielberg	['tt0108052', 'tt0083866', 'tt0120815', 'tt0082971']
nm0001379	John Huston	['tt0040897', 'tt0071315', 'tt0042208', 'tt0089841']
nm0001232	Milos Forman	['tt0073486', 'tt0086879', 'tt0117318', 'tt0079261']
nm0788940	Jim Sharman	['tt0073629', 'tt0077992', 'tt0069262', 'tt0083067']
nm0001596	Pier Paolo Pasolini	['tt0065622', 'tt0073650', 'tt0058715', 'tt0050783']
nm0802693	Ramesh Sippy	['tt0073707', 'tt0152256', 'tt0081491', 'tt0101284']
nm0001628	Sydney Pollack	['tt0084805', 'tt0465538', 'tt0120663', 'tt0089755']
nm0001587	Alan J. Pakula	['tt0084707', 'tt0074119', 'tt0100404', 'tt0056592']
nm0000118	John Carpenter	['tt0080749', 'tt0077651', 'tt0069945', 'tt0082340']
nm0000361	Brian De Palma	['tt0086984', 'tt0080661', 'tt0099165', 'tt0074285']
nm0267309	James Fargo	['tt0077523', 'tt0074483', 'tt0073195', 'tt0075029']
nm0000186	David Lynch	['tt0098936', 'tt0460829', 'tt0105665', 'tt0166924']
nm0027183	Michael Anderson	['tt0074812', 'tt0048960', 'tt0128648', 'tt0053455']
nm0772259	John Schlesinger	['tt0064665', 'tt0059084', 'tt0074860', 'tt0080157']
nm0002160	Moustapha Akkad	['tt0074896', 'tt0075143', 'tt0095271', 'tt0085636']
nm0001486	Sidney Lumet	['tt0050083', 'tt0292963', 'tt0071877', 'tt0072890']
nm0001149	Richard Donner	['tt0078346', 'tt0089457', 'tt0839995', 'tt0093409']
