nconst	primaryName	knownForTitles
nm0642988	Jack Oakie	['tt0032553', 'tt0023225', 'tt0023302', 'tt0029845']
nm0306786	Reginald Gardiner	['tt0032553', 'tt0037595', 'tt0033874', 'tt0028757']
nm0199787	Henry Daniell	['tt0032553', 'tt0051201', 'tt0032904', 'tt0037549']
nm0317970	Billy Gilbert	['tt0032599', 'tt0032553', 'tt0039404', 'tt0029923']
nm0214924	Carter DeHaven	['tt0444921', 'tt0032553', 'tt0027977', 'tt0012449']
nm0608373	Maurice Moscovitch	['tt0032553', 'tt0029192', 'tt0031593', 'tt0031477']
nm0000026	Cary Grant	['tt0053125', 'tt0056923', 'tt0034248', 'tt0038787']
nm0000897	Ralph Bellamy	['tt0032599', 'tt0034398', 'tt0086465', 'tt0063522']
nm0516876	Gene Lockhart	['tt0032599', 'tt0039628', 'tt0049055', 'tt0029855']
nm0356004	Porter Hall	['tt0036775', 'tt0034240', 'tt0032599', 'tt0043338']
nm0874139	Ernest Truex	['tt0032599', 'tt0024769', 'tt0052520', 'tt0010518']
nm0249893	Cliff Edwards	['tt0032599', 'tt0039404', 'tt0129167', 'tt1764234']
nm0463882	Clarence Kolb	['tt0032599', 'tt0030442', 'tt0167039', 'tt0041503']
nm0439850	Roscoe Karns	['tt0032599', 'tt0025919', 'tt0025316', 'tt0035567']
nm0421028	Frank Jenks	['tt0032599', 'tt0037595', 'tt0035405', 'tt0029757']
nm0000026	Cary Grant	['tt0053125', 'tt0056923', 'tt0034248', 'tt0038787']
nm0000071	James Stewart	['tt0052561', 'tt0052357', 'tt0038650', 'tt0031679']
nm0397397	John Howard	['tt0032904', 'tt0029162', 'tt0028667', 'tt0032637']
nm0950019	Roland Young	['tt0032904', 'tt0029682', 'tt0032847', 'tt0020534']
nm0356568	John Halliday	['tt0032904', 'tt0023786', 'tt0022689', 'tt0031491']
nm0199787	Henry Daniell	['tt0032553', 'tt0051201', 'tt0032904', 'tt0037549']
nm0427934	Dickie Jones	['tt2395427', 'tt0026163', 'tt0026636', 'tt0027200']
nm0427934	Dickie Jones	['tt2395427', 'tt0026163', 'tt0026636', 'tt0027200']
nm0427934	Dickie Jones	['tt2395427', 'tt0026163', 'tt0026636', 'tt0027200']
nm0427934	Dickie Jones	['tt2395427', 'tt0026163', 'tt0026636', 'tt0027200']
nm0747759	Christian Rub	['tt0030993', 'tt0026866', 'tt0027677', 'tt0029054']
nm0747759	Christian Rub	['tt0030993', 'tt0026866', 'tt0027677', 'tt0029054']
nm0000305	Mel Blanc	['tt0096438', 'tt0094939', 'tt0078915', 'tt0077278']
nm0000305	Mel Blanc	['tt0096438', 'tt0094939', 'tt0078915', 'tt0077278']
nm0110893	Don Brodie	['tt0036821', 'tt0035885', 'tt0042111', 'tt0031875']
nm0110893	Don Brodie	['tt0036821', 'tt0035885', 'tt0042111', 'tt0031875']
nm0118081	Stuart Buchanan	[]
nm0118081	Stuart Buchanan	[]
nm0146185	Walter Catlett	['tt0027996', 'tt0029947', 'tt0021890', 'tt0027075']
nm0146185	Walter Catlett	['tt0027996', 'tt0029947', 'tt0021890', 'tt0027075']
